가성비좋아요 가끔 생각날 맛,
매운데 자꾸 당겨서 가끔 사놔요,
그저그래요  좀 많이 데워야했을까요 ,
정말 냄새나고   다시 안사먹을거 같아요  ,
늘 구매하는 제품입니다,
양이 진짜 작아요  ㅋㅋ 가격이 착하니깐  여기에 순대랑 떡볶이떡 추가해서 요리해 먹으니 괜찮네요 ,
그냥 보통입니다 세일할때 드세요,
맛있어요 좋아요 재구매할거예요,
맛있게 먹고 있습니다,
노브랜드 개 양아치네 왜 가격을 일제히 올리냐  이거만 올렸으면 그런가부다했는데 텐더랑 가라아게  다 같이 왜오르냐  이건 쌩양아치들이나 하는짓이다,
항상 구매하는 제품입니다,
양도 많고 맛있어요   ,
늘 사는 제품인데 가격이 좀 올랐네요,
너무좋네요 힛힛힛핫힛,
너무 맛나요 감사해요,
가격 조금 올랐네요 그래두 맛있어서 자주 사먹어요 야채랑 당면 넣으면 완전 맛있어요 ,
간도 별로고   상태도,
순대 곱창 냄새 안나고 맛있어요 야채 추가해서 후라이팬에 볶으면 맛나요 장볼때마다 구매합니다,
냄새 하나도 안나고 맛있네요,
자주구매하는 제품입니다,
잘 받았어요 맛없어요 ,
너무맛있어요 가족모두 좋아해요,
오랜만에 깻잎 부추 양파 넣고 순대볶음 해먹었어요  역시 매콤하고 맛있네요 ,
이거 진짜 굿  진짜 곱창 땡길때  넘 맛나요 ㅋㅋ,
매콩해요 간편하게 전자렌지에 데우니 편리해요,
양념이 생각보다 매콤한데 그래서 전 더 맛있게 먹었어요 ,
간편한 술 안주로 좋아요,
순대 곱창 매운데 양념이 맛있어요,
혼자 먹기에 양도 많고 딱 좋아요 ,
잘먹었습니다 맛있어요,
맛있어요 애용하는 제품 ,
매콤하게 양념맛이 진해요  밥볶아서 먹기도 괜찮을듯,
생각만큼  있지는 않았어요,
감사합니다  잘 쓸게요 ,
항상 잘 먹고 있어요  ,
싸고 맛있어서 좋아요,
순대곱창볶음 생각날 때 간편하게 먹을 수 있어요,
맛있게 잘 먹었습니다,
야식으로 먹기 좋아요 냄새도 안나고 적당히 매콤해요 양파랑 양배추넣어서 추가적으로 볶아먹으면 맛있어요,
항상 구입하고 있어요,
저는 별루였습니다 ,
 인분으로 딱이네요,
정확한 배송에 감사합니다,
잘받았어요 나중에 재구매할 의사있어요,
다른 야채들 추가해서 먹었는데 술안주로 좋았어요,
간단하게 먹기 좋아요,
다시 재주문 들어가요,
늘사던것이라 만족합니다 ,
술안주로 딱 좋아요,
자주구매해요  잘받았어요,
자주 구매하는 제품이에요 ,
자주 구매하는 제품이에요  맛있어요 ,
전자레인지 데워먹으면 되고 간편해 좋아요,
이거 괜찮은데 안달하여 ,
항상 구매하는 제품입니다,
제입맛엔 별로요   ㅜ 냄새도조금이상하듯하구요  ,
매워요   맵다고 했지만   정말매워요 ㅠ,
두번째구매인데   가성비 괜찮아요 야채 좀 추가해서 먹음 더 좋아요 ,
맛이 애매해요  재구매는안할것 같아요 ,
엄청매우니 조심   맛은좋아요 ,
밤에 혼술할때 좋아요,
 노브랜드  순대곱창볶음    g,
진짜 맛있오요 ㅠㅠㅠ양도 혜자  깻잎 멓으면 굿,
순대볶음이 맛있으면 좋겠어요,
재구매합니다 맛나요,
양은 적지만 맛은 괜찮아요,
매콤한게 별미입니다  재구매 많이하는 상품 중 하나예요,
빠른배송에 감사합니다 ,
잘 먹었어요오오오옹,
매콤하고 저녁에 맥주에 가볍게 먹는 술안주용,
맛없어요    비추비추,
늘 애용하는 제품   넘 좋아요,
상품에 만족합니다 ,
저렴하게 잘 샀어여  ,
제입맛에는 안맞아서 양념 더첨가해서,
좋아 좋아요 이이지지디 좋아 요,
매콤하니 너무 맛있었습니다,
늘 사는 제품입니다 ,
아직안먹어봐서ㅜ 노브랜드거라기대중이에요,
가격도 좋고 맛있습니다 ,
가볍게 먹기에는 좋을 듯 하지만 재구매는 안할 거 같아요,
맵고짜요 참고하세요,
간편한데 양이 생각보다 적어요,
좋아요 좋아요 좋아요,
그냥 먹기 괜찮았어요 ,
순대는 쫄깃맛나구요  노브랜드는 곱창라인이 많이 별로에요   소스매콤하고 진하고 간편하니 좋습니다 ,
자주시켜서 먹어요 별미네요,
정말 만족도 높은 순대곱창볶음이었습니다 앞으로 계속 시킬 듯 하네요 그런데 가격이  천원이 안 되었던 거 같은데 오늘 다시 시키려고 보니     원이 넘네요  가격 조정이 있었던 거 같습니다 그래도 맛있으니까 괜찮아요,
ㄱ곱창이 너무 질겼어요,
이건 기대와 좀 달랐던,
매번 구입하는 상품입니다 ,
코로나 시기에 배송기사님들 감사합니다,
맛있어용 혼자먹으면 넉넉한 양이에요 혼술안주로 딱,
가격대비 가성비갑  술안주로 좋아요,
얼큰하니 맛있어요  ,
역시나 전자렌지 간편 조리 제품의 한계인듯 합니다  순대는 먹을만 했으나 곱창은 별로네요  야채곱창은 사먹는 걸로    재구매의사 없습니다 ,
노브랜드 상품 중 저의 최애템입니다  저는 야채를 추가로 넣고 함께 볶아서 먹는데  제 입맛에는 상당히 맵지만 맛있어서 계속 구매하게 되네요 밤늦게 좀 출출할때 맥주 한잔이랑 먹으면 너무 만족스러운 야식메뉴가 됩니다  냉장고 안에 없으면 서운한 아이템이에요  양이 좀 적은게 살짝 아쉬워요 ,
항상구매하는 좋은제품입니다,
매번 떨어지지않게 사요,
집에서 해먹을 수 있어 좋네요,
자주 구매하는 제품이에요 좋아요 ,
아주 시간정확하고 빠르게 배송해주셔서 감사합니다 ,
순대가 푸짐하게 들어있네요 ,
급땡길때 먹기좋아요,
맛있어요 역시 노브랜드,
맛있어요  자주 구매합니다,
무거운거 시장보기 힘든데 문앞까지 배송해주셔서 자주 사용하고 있어요  오늘도 잘 도착했어요,
안주로 반찬없을때 금방 먹을 수있어좋아요,
간편하고 실속있어요,
조금 양이 부족했지만 맛은 있었어요,
간식으로 짱  자주 사먹어요,
매콤하고 맛있어요,
조금 맵지만  양도 가격대비 괜찮음 ,
그냥 그냥 그렇네요,
약간 맵긴한데 괜찮은거 같네요  ,
후기대로 짜고 맵지만 양배추 노브랜드 순대 한봉 추가하니 좋아요,
집에서 간단히 맛있게 먹었어요 ,
맛있어요  순대곱창  야채 추가해서 먹으면 최고예요,
양은 적지만 정말 맛있어요,
애들이 맛있게 해서 먹었어요,
안주로 입맛 없을때 좋아요,
간단하게 술안주로 참 괜찮네요 ,
다음에도 구매할게요,
아이가 좋아해서 여러 번 구매했는데   맛있데요 ,
그럭저럭 별미로 먹었어요  다음에 한번 더 구매할지도 ,
갠츈하네여 간편하게 먹기,
곱창이 조금 질기긴 한데 싸고 맛있어요 매콤한 편이에요,
늦은밤 술한잔하기 딱입니다  맛있어요 ,
노브랜드는 거의 실패가 없어요,
자주이용하는 상품입니다 맛있어요,
나쁘지 않아요  생각보다 칼칼합니다 ,
엄청 매워요 맵찔이는 구매하지 마세요,
매일사먹어요  좋아요,
맛 약간 맵지만 맛있는 매운맛,
잘받았습니다  감사합니다 ,
적극추천합니다 배송도 빠르고 가격도 저렴하고 품질도 좋아요 적극추천합니다 배송도 빠르고 가격도 저렴하고 품질도 좋아요 매우 좋아요 적극추천합니다 배송도 빠르고 가격도 저렴하고 품질도 좋아요 아주 좋아요 적극추천합니다 배송도 빠르고 가격도 저렴하고 품질도 좋아요 꼭 사용하세요 적극추천합니다 배송도 빠르고 가격도 저렴하고 품질도 좋아요 적극추천합니다,
잘 이용하고있어요 좋아요,
맛리뷰가 그나마 좋은 야식이더라구요,
맛은 있어요 근데 무척 맵네요,
잘받았습니다 좋아요,
술안주로 한번먹기 딱 적당한양이에요,
배송도 빠르고 제품도 매장보다 저렴하게 잘 구매했어요 늘 이용하는 제품이예요 만족합니다,
제 입엔 별로네요  순대도 퍽퍽하고 곱창도 그닥 ㅜㅠ,
맛있어서 항상 구매해요  조금 맵지만 안주용으로 딱,
매콤한게 맛있네요 ,
엄마가 맛있다시네요,
저렴하고 맛있어요 ,
간단하게 야식으로 즐기기 좋아요,
곱창이라 조금 질겼지만 맛은 괜찮았어여,
맛있어요항상구매해요,
너무 쪼끔들어있어요  ,
맛있어용 맛있어요용요요,
항상 구매하는 상품입니다 ㅎㅎ 좋아요 ,
맛이 좋아여 최고 ,
맛있어요  재구매 예정입니다 ,
매운데 존맛이예요 한번 잡솨봐 깻잎필수,
밥이랑 매주랑 소주랑 잘 먹어요,
제 입맛으로는 그럭저럭 이에요,
